cd_UGestora,dt_Ano,cd_UnidOrcamentaria,nu_Empenho,nu_Parcela,tp_Lancamento,vl_Pagamento,dt_Pagamento,cd_Conta,nu_ChequePag,nu_DebAut,cd_BancoRec,cd_AgenciaRec,nu_ContaRec,tp_FonteRecursos,dt_MesAno
201067,2015,02130,0006038,0000001,1,179839.7000,2015-08-14 00:00:00,00000023446X,74D23C,00000000000,,,,14,082015
201067,2015,02130,0007593,0000001,1,248513.5400,2015-10-15 00:00:00,00000023446X,D62DA7,00000000000,,,,14,102015
201067,2015,02130,0008984,0000001,1,180509.8500,2015-12-16 00:00:00,00000023446X,F054C9,00000000000,,,,14,122015
201067,2013,02130,0000733,0000001,1,130000.1800,2013-02-19 00:00:00,000000221082,000000,00000F53310,,,,14,022013
201067,2014,02060,0000383,0000001,1,20882.3900,2014-01-20 00:00:00,000000221961,C2E9FE,00000000000,,,,15,012014
201067,2014,02060,0001507,0000001,1,15160.4000,2014-04-23 00:00:00,000000173649,2A9B1A,00000000000,,,,15,042014
201067,2014,02060,0004790,0000001,1,41476.2400,2014-06-09 00:00:00,000000221961,8A46F7,00000000000,,,,15,062014
201067,2014,02060,0005829,0000001,1,43470.8300,2014-07-15 00:00:00,000000221961,38FF50,00000000000,,,,15,072014
201067,2014,02060,0007553,0000001,1,28640.9300,2014-09-08 00:00:00,000000221961,7A5883,00000000000,,,,15,092014
201067,2014,02060,0008262,0000001,1,31767.7500,2014-09-29 00:00:00,000000221961,730482,00000000000,,,,15,092014
201019,2014,20500,0000058,0000001,1,20000.0000,2014-01-31 00:00:00,000000124362,000000,,,,,19,012014
201019,2014,20500,0000058,0000002,1,567.0300,2014-02-14 00:00:00,000000124362,000000,,,,,19,022014
201019,2014,20500,0000058,0000003,1,2079.1100,2014-02-14 00:00:00,000000124362,000000,,,,,19,022014
201019,2014,20500,0000058,0000004,1,24606.3200,2014-02-14 00:00:00,000000124362,000000,,,,,19,022014
201013,2010,02080,0003139,0000001,1,42000.0000,2010-07-22 00:00:00,000000250058,543930,,,,,0,072010
201013,2010,02080,0003843,0000001,1,58261.6000,2010-09-14 00:00:00,000000250058,853905,,,,,0,092010
201013,2011,02100,0006315,0000001,1,35354.2500,2011-12-23 00:00:00,000000134066,850021,,,,,0,122011
201019,2015,20401,0002317,0000001,1,122771.5000,2015-10-05 00:00:00,000006240541,000000,,,,,14,102015
201019,2015,20401,0002317,0000002,1,1491.1500,2015-10-05 00:00:00,000006240541,000000,,,,,14,102015
201048,2014,08008,0002786,0000001,1,16320.2000,2014-12-23 00:00:00,000000068713,850235,,,,,0,122014
201048,2015,05005,0001993,0000001,1,234282.9000,2015-08-14 00:00:00,000000124230,034197,,,,,0,082015
201048,2015,05005,0002129,0000001,1,61373.0000,2015-09-02 00:00:00,000000121649,000000,,,,,0,092015
201048,2015,06006,0000102,0000001,1,76358.3100,2015-01-21 00:00:00,000000103934,000000,,,,,0,012015
201048,2015,06006,0000526,0000001,1,9758.9100,2015-03-24 00:00:00,000000120499,000000,,,,,0,032015
201048,2015,06006,0000597,0000001,1,31279.3100,2015-03-13 00:00:00,000000069086,000000,,,,,0,032015
